RA,ANO,Fase,IDADE,IDADE,Gênero,Instituição de ensino,IAN,IDA,IEG,IAA,IPS,IPP,IPV,INDE,INDICADORES_MEDIA,IEG_IDA_RATIO,INDE_IDA_RATIO,DESALINHAMENTO_IAA_IDA,CATEGORIA_RISCO
RA-54,2022,5,16.0,,Menina,Escola Pública,5.0,4.8,6.9,7.9,7.5,7.555149797579633,6.125,7.396685633864757,6.540021399654234,1.4372005832118309,1.540655203887681,3.1000000000000005,Muito Alto Risco
RA-55,2022,5,16.0,,Menina,Escola Pública,5.0,7.5,7.6,7.1,5.6,7.555149797579633,6.5,7.396685633864757,6.693592828225662,1.0131982402346353,0.9860932720790236,-0.40000000000000036,Muito Alto Risco
RA-56,2022,5,15.0,,Menina,Rede Decisão,10.0,7.0,10.0,10.0,7.5,7.555149797579633,8.25,7.396685633864757,8.615021399654234,1.42836737608913,1.0565184450599567,3.0,Alto Risco
RA-57,2022,5,16.0,,Menino,Rede Decisão,5.0,8.4,8.1,7.1,5.6,7.555149797579633,7.875,7.396685633864757,7.090021399654233,0.964170932031901,0.880452997722266,-1.3000000000000007,Muito Alto Risco
RA-58,2022,5,15.0,,Menino,Rede Decisão,10.0,7.2,9.2,9.6,6.3,7.555149797579633,8.125,7.396685633864757,8.282878542511375,1.2776003332870434,1.027174785983163,2.3999999999999995,Alto Risco
RA-59,2022,5,17.0,,Menino,Escola Pública,5.0,7.2,9.3,9.2,7.5,7.555149797579633,7.917,7.396685633864757,7.667449971082805,1.2914872934314678,1.027174785983163,1.9999999999999991,Muito Alto Risco
RA-60,2022,5,18.0,,Menina,Escola Pública,2.5,4.9,6.0,6.7,7.5,7.555149797579633,6.167,7.396685633864757,5.903164256797091,1.2242399510304018,1.5092196763649777,1.7999999999999998,Muito Alto Risco
RA-61,2022,5,15.0,,Menino,Escola Pública,10.0,5.8,7.4,9.2,7.5,7.555149797579633,7.875,7.396685633864757,7.904307113939948,1.2756421306671264,1.2750707867375894,3.3999999999999995,Alto Risco
RA-62,2022,5,17.0,,Menino,Escola Pública,5.0,9.3,9.4,8.8,7.5,7.555149797579633,7.25,7.396685633864757,7.829307113939947,1.01064401677239,0.7952570297672031,-0.5,Muito Alto Risco
RA-63,2022,5,16.0,,Menino,Rede Decisão,5.0,8.7,9.1,8.3,8.8,7.555149797579633,9.417,7.396685633864757,8.124592828225662,1.0458567980691875,0.8500960388305664,-0.3999999999999986,Muito Alto Risco
RA-64,2022,5,16.0,,Menino,Escola Pública,5.0,7.5,8.1,7.1,8.1,7.555149797579633,8.25,7.396685633864757,7.372164256797091,1.0798560191974402,0.9860932720790236,-0.40000000000000036,Muito Alto Risco
RA-65,2022,5,17.0,,Menina,Escola Pública,5.0,9.3,7.7,8.3,7.5,7.555149797579633,7.875,7.396685633864757,7.604307113939947,0.827867971185894,0.7952570297672031,-1.0,Muito Alto Risco
RA-66,2022,5,17.0,,Menina,Escola Pública,5.0,4.5,5.6,7.5,7.5,7.555149797579633,5.917,7.396685633864757,6.224592828225662,1.2441679626749609,1.6433427313629763,3.0,Muito Alto Risco
RA-67,2022,5,16.0,,Menina,Escola Pública,5.0,3.6,3.0,5.8,7.5,7.555149797579633,6.889,7.396685633864757,5.620592828225662,0.8331019161344071,2.0540643248721904,2.1999999999999997,Muito Alto Risco
RA-68,2022,5,16.0,,Menino,Escola Pública,5.0,4.0,6.0,8.3,7.5,7.555149797579633,7.944,7.396685633864757,6.614164256797091,1.4996250937265683,1.8487092311583995,4.300000000000001,Muito Alto Risco
RA-69,2022,5,16.0,,Menino,Escola Pública,5.0,2.5,6.1,8.3,7.5,7.555149797579633,6.167,7.396685633864757,6.160307113939948,2.4390243902439024,2.9574912570430856,5.800000000000001,Muito Alto Risco
RA-70,2022,5,16.0,,Menina,Escola Pública,5.0,2.9,6.6,8.8,5.0,7.555149797579633,6.111,7.396685633864757,5.99516425679709,2.2750775594622543,2.5497020454549317,5.9,Muito Alto Risco
RA-71,2022,5,17.0,,Menina,Escola Pública,5.0,1.2,2.0,7.9,7.5,7.555149797579633,5.833,7.396685633864757,5.284021399654233,1.6652789342214822,6.158772384566825,6.7,Muito Alto Risco
RA-72,2022,5,17.0,,Menina,Escola Pública,5.0,7.8,7.5,8.3,7.5,7.555149797579633,8.667,7.396685633864757,7.474592828225662,0.9614152031790796,0.9481714695378486,0.5000000000000009,Muito Alto Risco
RA-73,2022,5,17.0,,Menina,Escola Pública,5.0,3.3,3.0,7.1,7.5,7.555149797579633,7.278,7.396685633864757,5.819021399654233,0.9088155104513784,2.2407408766630588,3.8,Muito Alto Risco
RA-74,2022,5,16.0,,Menino,Escola Pública,5.0,2.0,3.3,9.6,7.5,7.555149797579633,5.833,7.396685633864757,5.826878542511375,1.6491754122938531,3.696494569647555,7.6,Muito Alto Risco
RA-75,2022,5,16.0,,Menina,Escola Pública,5.0,0.0,3.8,5.4,6.3,7.555149797579633,4.625,7.396685633864757,4.668592828225662,3799.9999999999995,7396.685633864757,5.4,Muito Alto Risco
RA-76,2022,5,15.0,,Menina,Rede Decisão,10.0,8.7,9.1,10.0,8.1,7.555149797579633,9.292,7.396685633864757,8.963878542511376,1.0458567980691875,0.8500960388305664,1.3000000000000007,Alto Risco
RA-77,2022,5,16.0,,Menino,Escola Pública,5.0,0.7,2.7,7.1,5.0,7.555149797579633,4.625,7.396685633864757,4.668592828225662,3.851640513552069,10.551620019778541,6.3999999999999995,Muito Alto Risco
RA-78,2022,5,17.0,,Menino,Rede Decisão,5.0,7.2,6.6,8.3,5.6,7.555149797579633,8.0,7.396685633864757,6.893592828225661,0.9165393695320093,1.027174785983163,1.1000000000000005,Muito Alto Risco
RA-79,2022,5,16.0,,Menina,Rede Decisão,5.0,8.9,6.3,5.4,5.6,7.555149797579633,7.292,7.396685633864757,6.57816425679709,0.7077856420626896,0.8309949032541014,-3.5,Muito Alto Risco
RA-80,2022,5,16.0,,Menina,Rede Decisão,5.0,7.1,8.3,9.2,5.0,7.555149797579633,7.625,7.396685633864757,7.111449971082804,1.1688494578228419,1.041639999136003,2.0999999999999996,Muito Alto Risco
RA-81,2022,5,14.0,,Menina,Rede Decisão,10.0,6.0,9.2,9.2,5.0,7.555149797579633,7.458,7.396685633864757,7.773307113939947,1.5330778203632727,1.2325755097258384,3.1999999999999993,Alto Risco
RA-82,2022,5,17.0,,Menina,Escola Pública,5.0,5.5,6.8,8.8,7.5,7.555149797579633,6.417,7.396685633864757,6.796021399654234,1.236138883839302,1.344607459346438,3.3000000000000007,Muito Alto Risco
RA-83,2022,5,17.0,,Menina,Escola Pública,5.0,6.8,6.8,7.9,7.5,7.555149797579633,5.958,7.396685633864757,6.7875928282256615,0.9998529627995882,1.0875879479289452,1.1000000000000005,Muito Alto Risco
RA-84,2022,5,17.0,,Menina,Rede Decisão,5.0,5.8,8.8,7.1,5.0,7.555149797579633,6.75,7.396685633864757,6.57216425679709,1.5169798310636098,1.2750707867375894,1.2999999999999998,Muito Alto Risco
RA-85,2022,5,15.0,,Menino,Escola Pública,10.0,4.3,7.3,6.7,5.0,7.555149797579633,5.833,7.396685633864757,6.669735685368518,1.6972797023947919,1.719759505664905,2.4000000000000004,Alto Risco
RA-86,2022,5,16.0,,Menino,Rede Decisão,5.0,6.7,9.6,7.5,5.6,7.555149797579633,8.458,7.396685633864757,7.201878542511375,1.4326219967169078,1.1038181814452703,0.7999999999999998,Muito Alto Risco
RA-87,2022,5,15.0,,Menino,Rede Decisão,10.0,8.8,9.6,8.3,7.5,7.555149797579633,8.5,7.396685633864757,8.607878542511376,1.090785138052494,0.8404369541943821,-0.5,Alto Risco
RA-88,2022,5,17.0,,Menino,Escola Pública,5.0,6.5,9.2,7.1,5.6,7.555149797579633,9.208,7.396685633864757,7.16616425679709,1.4151668974003997,1.1377765934263584,0.5999999999999996,Muito Alto Risco
RA-89,2022,5,16.0,,Menino,Escola Pública,5.0,5.9,7.8,9.6,7.5,7.555149797579633,8.0,7.396685633864757,7.336449971082804,1.3218098627351293,1.2534630797940614,3.6999999999999993,Muito Alto Risco
RA-90,2022,5,13.0,,Menina,Rede Decisão,10.0,8.5,9.7,10.0,9.4,7.555149797579633,9.75,7.396685633864757,9.272164256797092,1.141042230325844,0.8700959456375436,1.5,Alto Risco
RA-91,2022,5,16.0,,Menina,Rede Decisão,5.0,6.6,5.7,9.2,5.6,7.555149797579633,7.125,7.396685633864757,6.682878542511376,0.8635055294652326,1.1205401657119765,2.5999999999999996,Muito Alto Risco
RA-92,2022,5,16.0,,Menina,Rede Decisão,5.0,7.4,7.1,9.2,5.0,7.555149797579633,6.667,7.396685633864757,6.846021399654234,0.9593298202945546,0.9994170563254636,1.799999999999999,Muito Alto Risco
RA-93,2022,5,15.0,,Menina,Rede Decisão,10.0,8.5,9.7,8.3,8.1,7.555149797579633,9.083,7.396685633864757,8.748307113939948,1.141042230325844,0.8700959456375436,-0.1999999999999993,Alto Risco
RA-94,2022,5,15.0,,Menina,Rede Decisão,10.0,7.7,9.6,8.3,8.1,7.555149797579633,9.583,7.396685633864757,8.691164256797089,1.246591351772497,0.9604837857245496,0.6000000000000005,Alto Risco
RA-95,2022,5,17.0,,Menina,Escola Pública,5.0,4.8,6.6,8.3,7.5,7.555149797579633,6.292,7.396685633864757,6.57816425679709,1.3747136013330554,1.540655203887681,3.500000000000001,Muito Alto Risco
RA-96,2022,5,16.0,,Menino,Escola Pública,5.0,6.7,7.8,9.2,6.9,7.555149797579633,8.5,7.396685633864757,7.379307113939947,1.1640053723324875,1.1038181814452703,2.499999999999999,Muito Alto Risco
RA-97,2022,5,15.0,,Menina,Rede Decisão,10.0,6.9,8.8,7.5,5.0,7.555149797579633,6.292,7.396685633864757,7.435307113939948,1.2751775105057237,1.0718280877937627,0.5999999999999996,Alto Risco
RA-98,2022,5,15.0,,Menina,Rede Decisão,10.0,8.5,10.0,8.8,9.4,7.555149797579633,9.667,7.396685633864757,9.131735685368518,1.1763321962122104,0.8700959456375436,0.3000000000000007,Alto Risco
RA-99,2022,5,16.0,,Menino,Escola Pública,5.0,5.0,6.3,8.8,7.5,7.555149797579633,5.833,7.396685633864757,6.569735685368519,1.2597480503899219,1.4790413185092495,3.8000000000000007,Muito Alto Risco
RA-100,2022,4,13.0,,Menina,Rede Decisão,10.0,7.6,7.8,8.8,5.0,7.555149797579633,7.25,7.396685633864757,7.715021399654233,1.0261807656887252,0.9731200676048885,1.200000000000001,Alto Risco
RA-101,2022,4,15.0,,Menina,Escola Pública,5.0,7.6,8.3,7.9,7.5,7.555149797579633,6.833,7.396685633864757,7.24116425679709,1.091961584002105,0.9731200676048885,0.3000000000000007,Muito Alto Risco
RA-102,2022,4,14.0,,Menino,Escola Pública,10.0,5.7,7.7,6.7,6.9,7.555149797579633,6.0,7.396685633864757,7.2221642567970905,1.3506402385546394,1.297436525848931,1.0,Alto Risco
RA-103,2022,4,13.0,,Menina,Rede Decisão,10.0,7.3,8.7,7.9,7.5,7.555149797579633,7.708,7.396685633864757,8.094735685368518,1.191617586631968,1.0131058257587668,0.6000000000000005,Alto Risco
RA-104,2022,4,18.0,,Menino,Escola Pública,2.5,3.7,8.7,7.9,7.5,7.555149797579633,6.708,7.396685633864757,6.36616425679709,2.3507160226965684,1.9985640729167136,4.2,Muito Alto Risco
RA-105,2022,4,17.0,,Menino,Rede Decisão,2.5,6.7,8.2,7.9,5.6,7.555149797579633,7.417,7.396685633864757,6.55316425679709,1.2236979555290253,1.1038181814452703,1.2000000000000002,Muito Alto Risco
RA-106,2022,4,15.0,,Menina,Rede Decisão,5.0,7.4,8.0,9.2,9.4,7.555149797579633,8.375,7.396685633864757,7.8471642567970905,1.0809350087825969,0.9994170563254636,1.799999999999999,Muito Alto Risco
RA-107,2022,4,15.0,,Menina,Escola Pública,5.0,4.6,6.4,7.5,7.5,7.555149797579633,6.5,7.396685633864757,6.436449971082804,1.3910019560965008,1.6076256539588691,2.9000000000000004,Muito Alto Risco
RA-108,2022,4,17.0,,Menina,Escola Pública,2.5,5.0,7.7,4.6,5.0,7.555149797579633,6.125,7.396685633864757,5.49716425679709,1.5396920615876823,1.4790413185092495,-0.40000000000000036,Muito Alto Risco
RA-109,2022,4,16.0,,Menino,Rede Decisão,5.0,8.4,10.0,8.8,8.8,7.555149797579633,8.667,7.396685633864757,8.174592828225661,1.1903344839900012,0.880452997722266,0.40000000000000036,Muito Alto Risco
RA-110,2022,4,14.0,,Menino,Rede Decisão,10.0,6.7,9.7,9.2,5.6,7.555149797579633,8.0,7.396685633864757,8.107878542511376,1.4475451425160422,1.1038181814452703,2.499999999999999,Alto Risco
RA-111,2022,4,13.0,,Menina,Rede Decisão,10.0,8.0,9.4,7.5,8.1,7.555149797579633,8.667,7.396685633864757,8.460307113939947,1.1748531433570806,0.9244701454649116,-0.5,Alto Risco
RA-112,2022,4,15.0,,Menina,Rede Decisão,5.0,8.5,7.8,7.9,6.3,7.555149797579633,8.833,7.396685633864757,7.4125928282256615,0.917539113045524,0.8700959456375436,-0.5999999999999996,Muito Alto Risco
RA-113,2022,4,15.0,,Menina,Rede Decisão,5.0,3.7,0.0,0.0,5.0,7.555149797579633,3.792,7.396685633864757,3.578164256797091,0.0,1.9985640729167136,-3.7,Muito Alto Risco
RA-114,2022,4,16.0,,Menino,Escola Pública,5.0,5.3,6.3,7.9,7.5,7.555149797579633,5.0,7.396685633864757,6.365021399654233,1.1884550084889642,1.3953377917118952,2.6000000000000005,Muito Alto Risco
RA-115,2022,4,16.0,,Menina,Escola Pública,5.0,3.8,6.8,8.3,6.3,7.555149797579633,5.583,7.396685633864757,6.19116425679709,1.7890028939752698,1.9459841183543165,4.500000000000001,Muito Alto Risco
RA-116,2022,4,16.0,,Menina,Escola Pública,5.0,5.9,8.1,5.8,6.3,7.555149797579633,7.792,7.396685633864757,6.635307113939947,1.3726487036095574,1.2534630797940614,-0.10000000000000053,Muito Alto Risco
RA-117,2022,4,15.0,,Menina,Escola Pública,5.0,6.1,6.3,7.9,6.9,7.555149797579633,7.417,7.396685633864757,6.738878542511375,1.0326176036715293,1.2123726657703258,1.8000000000000007,Muito Alto Risco
RA-118,2022,4,14.0,,Menina,Escola Pública,10.0,3.9,5.3,0.0,6.3,7.555149797579633,6.958,7.396685633864757,5.71616425679709,1.3586259933350424,1.8960998805087816,-3.9,Alto Risco
RA-119,2022,4,14.0,,Menina,Rede Decisão,10.0,5.4,8.2,8.3,5.6,7.555149797579633,7.875,7.396685633864757,7.561449971082804,1.5182373634512125,1.3695029871995474,2.9000000000000004,Alto Risco
RA-120,2022,4,15.0,,Menino,Escola Pública,5.0,6.2,5.9,8.3,7.5,7.555149797579633,7.667,7.396685633864757,6.874592828225663,0.9514594420254797,1.1928214213618378,2.1000000000000005,Muito Alto Risco
RA-121,2022,4,16.0,,Menina,Escola Pública,5.0,7.2,8.4,7.1,6.3,7.555149797579633,7.625,7.396685633864757,7.0257356853685184,1.1665046521316484,1.027174785983163,-0.10000000000000053,Muito Alto Risco
RA-122,2022,4,14.0,,Menina,Escola Pública,10.0,1.8,3.4,7.9,7.5,7.555149797579633,4.958,7.396685633864757,6.159021399654233,1.8878400888395337,4.10698813651569,6.1000000000000005,Alto Risco
RA-123,2022,4,16.0,,Menino,Rede Decisão,5.0,6.5,8.6,7.9,5.6,7.555149797579633,7.292,7.396685633864757,6.921021399654234,1.322873404091678,1.1377765934263584,1.4000000000000004,Muito Alto Risco
RA-124,2022,4,14.0,,Menino,Rede Decisão,10.0,6.7,7.8,7.9,5.0,7.555149797579633,7.167,7.396685633864757,7.446021399654233,1.1640053723324875,1.1038181814452703,1.2000000000000002,Alto Risco
